# env_id	pip_spec	notes
# Pure-Python packages only: keeps the image small and the build deterministic.
# Each row becomes an isolated venv inside the sandbox image, so a reproduction
# attempt runs against exactly the version a report claims to be affected.
pyyaml-5.3	PyYAML==5.3	pre-CVE-2020-14343
pyyaml-5.3.1	PyYAML==5.3.1	fixes CVE-2020-1747, still exposed to CVE-2020-14343
pyyaml-5.4	PyYAML==5.4	fixes CVE-2020-14343
pyyaml-6.0.1	PyYAML==6.0.1	current
jinja2-2.11.2	Jinja2==2.11.2	pre-CVE-2020-28493 ReDoS
jinja2-2.11.3	Jinja2==2.11.3	fixes CVE-2020-28493
jinja2-3.1.2	Jinja2==3.1.2	pre-CVE-2024-22195
jinja2-3.1.3	Jinja2==3.1.3	fixes CVE-2024-22195
urllib3-1.26.4	urllib3==1.26.4	pre-CVE-2021-33503 ReDoS
urllib3-1.26.5	urllib3==1.26.5	fixes CVE-2021-33503
pyjwt-1.7.1	PyJWT==1.7.1	pre-CVE-2022-29217
pyjwt-2.4.0	PyJWT==2.4.0	fixes CVE-2022-29217
